city,name
Kyiv,Kyiv
Kharkiv,Kharkiv
Odesa,Odesa
Dnipro,Dnipro
Donetsk,Donetsk
Zaporizhzhia,Zaporizhzhia
Lviv,Lviv
Kryvyi Rih,Kryvyi Rih
Mykolaiv,Mykolaiv
Mariupol,Mariupol
Luhansk,Luhansk
Vinnytsia,Vinnytsia
Kherson,Kherson
Poltava,Poltava
Chernihiv,Chernihiv
Cherkasy,Cherkasy
Zhytomyr,Zhytomyr
Sumy,Sumy
Rivne,Rivne
Ivano-Frankivsk,Ivano-Frankivsk
Ternopil,Ternopil
Kamianets-Podilskyi,Kamianets-Podilskyi
Uzhhorod,Uzhhorod
Bila Tserkva,Bila Tserkva
Kremenchuk,Kremenchuk
Sievierodonetsk,Sievierodonetsk
Melitopol,Melitopol
Kerch,Kerch
Nikopol,Nikopol
Sloviansk,Sloviansk
Berdiansk,Berdiansk
Pavlohrad,Pavlohrad
Yevpatoria,Yevpatoria
Uman,Uman
Brovary,Brovary
Lysychansk,Lysychansk
Kamianske,Kamianske
Oleksandriia,Oleksandriia
Okhtyrka,Okhtyrka
Shostka,Shostka
Kolomyia,Kolomyia
Chervonohrad,Chervonohrad
Smila,Smila
Novomoskovsk,Novomoskovsk
Mukachevo,Mukachevo
Drohobych,Drohobych
Boryspil,Boryspil
Konotop,Konotop
Boryslav,Boryslav
Bucha,Bucha
Vyshhorod,Vyshhorod
Vyshneve,Vyshneve
Kalush,Kalush
Kostiantynivka,Kostiantynivka
Korosten,Korosten
Kramatorsk,Kramatorsk
Lubny,Lubny
Myrhorod,Myrhorod
Nova Kakhovka,Nova Kakhovka
Novograd-Volynskyi,Novograd-Volynskyi
Obukhiv,Obukhiv
Pereiaslav,Pereiaslav
Pryluky,Pryluky
Romny,Romny
Tokmak,Tokmak
Chornomorsk,Chornomorsk
Shepetivka,Shepetivka
Yuzhne,Yuzhne
Yalta,Yalta
Chernivtsi,Chernivtsi
Boyarka,Boyarka
Izmail,Izmail
Starokostyantyniv,Starokostyantyniv
Vasylkiv,Vasylkiv
Slavuta,Slavuta
Kakhovka,Kakhovka
Truskavets,Truskavets
Yahotyn,Yahotyn
Zolotonosha,Zolotonosha
Zolochiv,Zolochiv
Pidhorodne,Pidhorodne
Sokal,Sokal
Sarny,Sarny
Kitsman,Kitsman
Kobeliaky,Kobeliaky
Horodok,Horodok
Horodyshche,Horodyshche
Hlukhiv,Hlukhiv
Kupiansk,Kupiansk
Pidvolochysk,Pidvolochysk
Afghanistan,Afghanistan
Aland,Aland
Albania,Albania
Algeria,Algeria
American Samoa,American Samoa
Andorra,Andorra
Angola,Angola
Anguilla,Anguilla
Antarctica,Antarctica
Barbuda,Barbuda
Argentina,Argentina
Armenia,Armenia
Aruba,Aruba
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Bhutan,Bhutan
Bolivia,Bolivia
Bonaire,Bonaire
