city,name
Kyiv,Київ
Kyiv,Києві
Kharkiv,Харків
Kharkiv,Харкові
Odesa,Одеса
Odesa,Одесі
Dnipro,Дніпро
Dnipro,Дніпрі
Donetsk,Донецьк
Donetsk,Донецьку
Zaporizhzhia,Запоріжжя
Zaporizhzhia,Запоріжжі
Lviv,Львів
Lviv,Львові
Kryvyi Rih,Кривий Ріг
Kryvyi Rih,Кривому Розі
Mykolaiv,Миколаїв
Mykolaiv,Миколаєві
Mariupol,Mаріуполь
Mariupol,Маріуполі
Luhansk,Луганськ
Luhansk,Луганську
Vinnytsia,Вінниця
Vinnytsia,Вінниці
Kherson,Херсон
Kherson,Херсоні
Poltava,Полтава
Poltava,Полтаві
Chernihiv,Чернігів
Chernihiv,Чернігові
Cherkasy,Черкаси
Cherkasy,Черкасах
Zhytomyr,Житомир
Zhytomyr,Житомирі
Sumy,Суми
Sumy,Сумах
Rivne,Рівне
Rivne,Рівному
Ivano-Frankivsk,Івано-Франківськ
Ivano-Frankivsk,Івано-Франківську
Ternopil,Тернопіль
Ternopil,Тернополі
Kamianets-Podilskyi,Кам'янець-Подільський
Kamianets-Podilskyi,Кам'янці-Подільському
Uzhhorod,Ужгород
Uzhhorod,Ужгороді
Bila Tserkva,Біла Церква
Bila Tserkva,Білій Церкві
Kremenchuk,Кременчук
Kremenchuk,Кременчуці
Sievierodonetsk,Сєвєродонецьк
Sievierodonetsk,Сєвєродонецьку
Melitopol,Мелітополь
Melitopol,Мелітополі
Kerch,Керч
Kerch,Керчі
Nikopol,Нікополь
Nikopol,Нікополі
Sloviansk,Слов'янськ
Sloviansk,Слов'янську
Berdiansk,Бердянськ
Berdiansk,Бердянську
Pavlohrad,Павлоград
Pavlohrad,Павлограді
Yevpatoria,Євпаторія
Yevpatoria,Євпаторії
Uman,Умань
Uman,Умані
Brovary,Бровари
Brovary,Броварах
Lysychansk,Лисичанськ
Lysychansk,Лисичанську
Kamianske,Кам'янське
Kamianske,Кам'янському
Oleksandriia,Олександрія
Oleksandriia,Олександрії
Okhtyrka,Охтирка
Okhtyrka,Охтирці
Shostka,Шостка
Shostka,Шостці
Kolomyia,Коломия
Kolomyia,Коломиї
Chervonohrad,Червоноград
Chervonohrad,Червонограді
Smila,Сміла
Smila,Сміллі
Novomoskovsk,Новомосковськ
Novomoskovsk,Новомосковську
Mukachevo,Мукачево
Mukachevo,Мукачеві
Drohobych,Дрогобич
Drohobych,Дрогобичі
Boryspil,Бориспіль
Boryspil,Борисполі
Konotop,Конотоп
Konotop,Конотопі
Boryslav,Борислав
Boryslav,Бориславі
Bucha,Буча
Bucha,Бучі
Vyshhorod,Вишгород
Vyshhorod,Вишгороді
Vyshneve,Вишневе
Vyshneve,Вишневому
