currency,text
AED,Дирхам ОАЕ
AFN,Афгані
ALL,Лек
AMD,Вірменський драм
ANG,Нідерландський антильський гульден
AOA,Кванза
ARS,Аргентинське песо
AUD,Австралійський долар
AWG,Арубанський гульден
AZN,Азербайджанський манат
BAM,Конвертована марка
BBD,Долар Барбадосу
BDT,Така
BGN,Болгарський лев
BHD,Бахрейнський динар
BIF,Бурундійський франк
BMD,Бермудський долар
BND,Долар Брунею
BOB BOV,Болівіано Мвдол
BRL,Бразильський реал
BSD,Багамський долар
BWP,Пула
BYR,Білоруський рубль
BZD,Долар Белізу
CAD,Канадський долар
CDF,Конголезький франк
CHF,Швейцарський франк
CLP CLF,Чилійське песо
CNY,Юань
COP COU,Колумбійське песо
CRC,Костариканський колон
CUP CUC,Кубинське песо
CVE,Ескудо Кабо-Верде
CZK,Чеська крона
DJF,Джибутійський франк
DKK,Данська крона
DOP,Домініканське песо
DZD,Алжирський динар
EEK,Крона
EGP,Єгипетський фунт
ERN,Накфа
ETB,Ефіопський бір
EUR,Євро
FJD,Долар Фіджі
FKP,Фунт Фолклендських островів
GBP,Фунт стерлінгів
GEL,Ларі
GHS,Седі
GIP,Гібралтарський фунт
GMD,Даласі
GNF,Гвінейський франк
GTQ,Кетсаль
GYD,Долар Гайани
HKD,Гонконзький долар
HNL,Лемпіра
HRK,Хорватська куна
HTG USD,Гурд/Долар США
HUF,Форинт
IDR,Рупія
ILS,Новий ізраїльський шекель
INR,Індійська рупія
INR BTN,Індійська рупія/Нгултрум
IQD,Іракський динар
IRR,Іранський ріал
ISK,Ісландська крона
JMD,Ямайський долар
JOD,Йорданський динар
JPY,Єна
KES,Кенійський шилінг
KGS,Сом
KHR,Ріель
KMF,Коморський франк
KPW,Північнокорейський вон
KRW,Вон
KWD,Кувейтський динар
KYD,Долар Кайманових островів
KZT,Тенге
LAK,Кіп
LBP,Ліванський фунт
LKR,Рупія Шрі-Ланки
LRD,Ліберійський долар
LTL,Литовський літ
LVL,Латвійський лат
LYD,Лівійський динар
MAD,Марокканський дирхам
MDL,Молдовський лей
MGA,Малагасійський аріарі
MKD,Денар
MMK,К'ят
MNT,Тугрик
MOP,Патака
MRO,Угія
MUR,Рупія Маврикію
MVR,Руфія
MWK,Квача
MXN MXV,Мексиканське песо
MYR,Малайзійський рінггіт
MZN,Метікал
NGN,Найра
NIO,Кордоба
NOK,Норвезька крона
NPR,Непальська рупія
NZD,Новозеландський долар
OMR,Оманський ріал
PAB USD,Бальбоа/Долар США
PEN,Новий соль
PGK,Кіна
PHP,Філіппінське песо
PKR,Пакистанська рупія
PLN,Злотий
PYG,Гуарані
QAR,Катарський ріал
RON,Новий лей
RSD,Сербський динар
RUB,Російський рубль
RWF,Руандійський франк
SAR,Саудівський ріал
SBD,Долар Соломонових островів
SCR,Рупія Сейшел
SDG,Суданський фунт
SEK,Шведська крона
SGD,Сінгапурський долар
SHP,Фунт Святої Єлени
SLL,Леоне
SOS,Сомалійський шилінг
SRD,Долар Суринаму
STD,Добра
SVC USD,Колон/Долар США
SYP,Сирійський фунт
SZL,Лілангені
THB,Бат
TJS,Сомоні
TMT,Манат
TND,Туніський динар
TOP,Паанга
TRY,Турецька ліра
TTD,Долар Тринідаду і Тобаго
TWD,Новий тайванський долар
TZS,Танзанійський шилінг
UAH,Гривня
UGX,Угандійський шилінг
USD,Долар США
UYU UYI,Уругвайське песо
UZS,Узбецький сум
VEF,Болівар
VND,Донг
VUV,Вату
WST,Тала
XAF,Франк CFA
YER,Єменський ріал
ZAR,Ранд
ZAR LSL,Ранд/Лоті
ZAR NAD,Ранд/Долар Намібії
ZMK,Замбійська квача
ZWL,Долар Зімбабве

